データ日付,終値
2017/7/27,20079.64
2017/7/28,19959.84
2017/7/31,19925.18
2017/8/1,19985.79
2017/8/2,20080.04
2017/8/3,20029.26
2017/8/4,19952.33
2017/8/7,20055.89
2017/8/8,19996.01
2017/8/9,19738.71
2017/8/10,19729.74
2017/8/14,19537.1
2017/8/15,19753.31
2017/8/16,19729.28
2017/8/17,19702.63
2017/8/18,19470.41
2017/8/21,19393.13
2017/8/22,19383.84
2017/8/23,19434.64
2017/8/24,19353.77
2017/8/25,19452.61
2017/8/28,19449.9
2017/8/29,19362.55
2017/8/30,19506.54
2017/8/31,19646.24
2017/9/1,19691.47
2017/9/4,19508.25
2017/9/5,19385.81
2017/9/6,19357.97
2017/9/7,19396.52
2017/9/8,19274.82
2017/9/11,19545.77
2017/9/12,19776.62
2017/9/13,19865.82
2017/9/14,19807.44
2017/9/15,19909.5
2017/9/19,20299.38
2017/9/20,20310.46
2017/9/21,20347.48
2017/9/22,20296.45
2017/9/25,20397.58
2017/9/26,20330.19
2017/9/27,20267.05
2017/9/28,20363.11
2017/9/29,20356.28
2017/10/2,20400.78
2017/10/3,20614.07
2017/10/4,20626.66
2017/10/5,20628.56
2017/10/6,20690.71
2017/10/10,20823.51
2017/10/11,20881.27
2017/10/12,20954.72
2017/10/13,21155.18
2017/10/16,21255.56
2017/10/17,21336.12
2017/10/18,21363.05
2017/10/19,21448.52
2017/10/20,21457.64
2017/10/23,21696.65
2017/10/24,21805.17
2017/10/25,21707.62
2017/10/26,21739.78
2017/10/27,22008.45
2017/10/30,22011.67
2017/10/31,22011.61
2017/11/1,22420.08
2017/11/2,22539.12
2017/11/6,22548.35
2017/11/7,22937.6
2017/11/8,22913.82
2017/11/9,22868.71
2017/11/10,22681.42
2017/11/13,22380.99
2017/11/14,22380.01
2017/11/15,22028.32
2017/11/16,22351.12
2017/11/17,22396.8
2017/11/20,22261.76
2017/11/21,22416.48
2017/11/22,22523.15
2017/11/24,22550.85
2017/11/27,22495.99
2017/11/28,22486.24
2017/11/29,22597.2
2017/11/30,22724.96
2017/12/1,22819.03
2017/12/4,22707.16
2017/12/5,22622.38
2017/12/6,22177.04
2017/12/7,22498.03
2017/12/8,22811.08
2017/12/11,22938.73
2017/12/12,22866.17
2017/12/13,22758.07
2017/12/14,22694.45
2017/12/15,22553.22
2017/12/18,22901.77
2017/12/19,22868
2017/12/20,22891.72
2017/12/21,22866.1
2017/12/22,22902.76
2017/12/25,22939.18
2017/12/26,22892.69
2017/12/27,22911.21
2017/12/28,22783.98
2017/12/29,22764.94
2018/1/4,23506.33
2018/1/5,23714.53
2018/1/9,23849.99
2018/1/10,23788.2
2018/1/11,23710.43
2018/1/12,23653.82
2018/1/15,23714.88
2018/1/16,23951.81
2018/1/17,23868.34
2018/1/18,23763.37
2018/1/19,23808.06
2018/1/22,23816.33
2018/1/23,24124.15
2018/1/24,23940.78
2018/1/25,23669.49
2018/1/26,23631.88
2018/1/29,23629.34
2018/1/30,23291.97
2018/1/31,23098.29
2018/2/1,23486.11
2018/2/2,23274.53
2018/2/5,22682.08
2018/2/6,21610.24
2018/2/7,21645.37
2018/2/8,21890.86
2018/2/9,21382.62
2018/2/13,21244.68
2018/2/14,21154.17
2018/2/15,21464.98
2018/2/16,21720.25
2018/2/19,22149.21
2018/2/20,21925.1
2018/2/21,21970.81
2018/2/22,21736.44
2018/2/23,21892.78
2018/2/26,22153.63
2018/2/27,22389.86
2018/2/28,22068.24
2018/3/1,21724.47
2018/3/2,21181.64
2018/3/5,21042.09
2018/3/6,21417.76
2018/3/7,21252.72
2018/3/8,21368.07
2018/3/9,21469.2
2018/3/12,21824.03
2018/3/13,21968.1
2018/3/14,21777.29
2018/3/15,21803.95
2018/3/16,21676.51
2018/3/19,21480.9
2018/3/20,21380.97
2018/3/22,21591.99
2018/3/23,20617.86
2018/3/26,20766.1
2018/3/27,21317.32
2018/3/28,21031.31
2018/3/29,21159.08
2018/3/30,21454.3
2018/4/2,21388.58
2018/4/3,21292.29
2018/4/4,21319.55
2018/4/5,21645.42
2018/4/6,21567.52
2018/4/9,21678.26
2018/4/10,21794.32
2018/4/11,21687.1
2018/4/12,21660.28
2018/4/13,21778.74
2018/4/16,21835.53
2018/4/17,21847.59
2018/4/18,22158.2
2018/4/19,22191.18
2018/4/20,22162.24
2018/4/23,22088.04
2018/4/24,22278.12
2018/4/25,22215.32
2018/4/26,22319.61
2018/4/27,22467.87
2018/5/1,22508.03
2018/5/2,22472.78
2018/5/7,22467.16
2018/5/8,22508.69
2018/5/9,22408.88
2018/5/10,22497.18
2018/5/11,22758.48
2018/5/14,22865.86
2018/5/15,22818.02
2018/5/16,22717.23
2018/5/17,22838.37
2018/5/18,22930.36
2018/5/21,23002.37
2018/5/22,22960.34
2018/5/23,22689.74
2018/5/24,22437.01
2018/5/25,22450.79
2018/5/28,22481.09
2018/5/29,22358.43
2018/5/30,22018.52
2018/5/31,22201.82
2018/6/1,22171.35
2018/6/4,22475.94
2018/6/5,22539.54
2018/6/6,22625.73
2018/6/7,22823.26
2018/6/8,22694.5
2018/6/11,22804.04
2018/6/12,22878.35
2018/6/13,22966.38
2018/6/14,22738.61
2018/6/15,22851.75
2018/6/18,22680.33
2018/6/19,22278.48
2018/6/20,22555.43
2018/6/21,22693.04
2018/6/22,22516.83
2018/6/25,22338.15
2018/6/26,22342
2018/6/27,22271.77
2018/6/28,22270.39
2018/6/29,22304.51
2018/7/2,21811.93
2018/7/3,21785.54
2018/7/4,21717.04
2018/7/5,21546.99
2018/7/6,21788.14
2018/7/9,22052.18
2018/7/10,22196.89
2018/7/11,21932.21
2018/7/12,22187.96
2018/7/13,22597.35
2018/7/17,22697.36
2018/7/18,22794.19
2018/7/19,22764.68
2018/7/20,22697.88
2018/7/23,22396.99
2018/7/24,22510.48
2018/7/25,22614.25
2018/7/26,22586.87
2018/7/27,22712.75
2018/7/30,22544.84
2018/7/31,22553.72
2018/8/1,22746.7
2018/8/2,22512.53
2018/8/3,22525.18
2018/8/6,22507.32
2018/8/7,22662.74
2018/8/8,22644.31
2018/8/9,22598.39
2018/8/10,22298.08
